Student,LPIPS,SSIM
113590062.png,0.0,1.0
113590044.png,0.30009132623672485,0.5642221427361103
112590452.png,0.30214470624923706,0.5576430508924813
113590036.png,0.3133660554885864,0.5554624084533603
113590052.png,0.31932729482650757,0.5957505758003176
113590018.png,0.3203442394733429,0.5491747560584334
113590033.png,0.32694920897483826,0.6161318349915442
113370239.png,0.3287806510925293,0.626616457617983
110590455.png,0.3289666473865509,0.6067934596354093
111590047.png,0.32981061935424805,0.628291955354272
114054809.png,0.3413526117801666,0.5869018415074526
113590051.png,0.34327563643455505,0.611953208851605
113590031.png,0.34470200538635254,0.5978189154153102
113590015.png,0.3470045328140259,0.5996515766053236
112590040.png,0.34892451763153076,0.555756947361116
113590026.png,0.3508649170398712,0.6521290951013095
113590057.png,0.3510986268520355,0.5854464260595479
113590039.png,0.3522762656211853,0.6162346235130453
113590056.png,0.3634312152862549,0.5743428380619783
113590045.png,0.36667102575302124,0.5292835078814215
113590022.png,0.3695853352546692,0.5675814341090828
113590001.png,0.37186121940612793,0.5575866777753062
113590006.png,0.3722042739391327,0.49579730542278533
111590028.png,0.37335270643234253,0.5932328353152828
113590060.png,0.37365493178367615,0.6552597404668341
113590061.png,0.3808940649032593,0.5814982856500235
113AB0018.png,0.3844640552997589,0.5603596218188216
113AC1012.png,0.38746392726898193,0.5510088298884241
113590040.png,0.38778528571128845,0.6033144664106627
113590050.png,0.3902074098587036,0.5080365458937521
111590062.png,0.39081159234046936,0.581696239668522
113590008.png,0.3928791284561157,0.43529353259534714
113590021.png,0.40156906843185425,0.5582300187533132
112590455.png,0.40272998809814453,0.5801614762519225
113590011.png,0.4028373658657074,0.5425119434245528
112590454.png,0.40828922390937805,0.5298691995266114
113590003.png,0.4094246029853821,0.5806349571292165
113590023.png,0.415755957365036,0.46033363066017147
113590002.png,0.41867560148239136,0.518180976780115
113590059.png,0.42130184173583984,0.4881721400400958
112590058.jpg,0.4219782054424286,0.4027102393473434
113590010.png,0.4272233247756958,0.5554257609520853
113590032.png,0.43028634786605835,0.6217988473251617
113590028.png,0.4323137402534485,0.49750364950663123
113590047.png,0.4348874092102051,0.646932659385738
113590049.png,0.4360548257827759,0.4357417505196987
113590042.png,0.4382222890853882,0.5129940304853265
113590004.png,0.4465050995349884,0.6396201872248004
113590043.png,0.468311071395874,0.6546629735391608
113590025.png,0.47738808393478394,0.650168727730099
111590042.png,0.49598440527915955,0.6583875439080789
111590455.png,0.5028319358825684,0.48762953152931143
